Earnings_Year,Earnings_Canada_Yearly,Housing_Price_Year,Composite_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark,Office_year,office_region,office_property_type,office_index_value,consumer_index_year,consumer_index_value
2013,47962.72,2017,550200,475200,697900,471200,419800,1981,"Edmonton, Alberta",School,57.8,1984,92.8
2013,48374.56,2017,550200,474100,697000,470600,421700,1981,"Edmonton, Alberta",School,58,1984,94
2014,47849.36,2017,550200,474800,694200,471200,424700,1981,"Vancouver, British Columbia",Office,58.8,1984,93.3
2014,48523.8,2018,552700,475900,695700,474600,428400,1981,"Vancouver, British Columbia",Office,59.4,1984,94
2014,48400.56,2018,559400,481100,703400,478200,436700,1981,"Vancouver, British Columbia",Office,58.7,1984,93.3
2014,48418.24,2018,566300,487300,709300,485800,444000,1981,"Vancouver, British Columbia",Office,54.1,1984,0
2014,48501.44,2018,569300,489100,710800,490900,448600,1981,"Vancouver, British Columbia",Office,59,1984,0
2014,48805.64,2018,573000,492800,715100,494100,451600,1981,"Vancouver, British Columbia",Warehouse,67.9,1984,63.7
2014,48843.6,2018,572300,489500,714200,495600,452600,1981,"Vancouver, British Columbia",Warehouse,61.2,1984,3.7
2014,48631.44,2018,571300,488800,711700,496400,452400,1981,"Vancouver, British Columbia",Warehouse,64.9,1984,64.6
2014,48606.48,2018,568800,487300,707100,493700,450800,1981,"Vancouver, British Columbia",Warehouse,63.3,1984,77.2
2014,48915.36,2018,566800,485100,705300,492800,449300,1981,"Vancouver, British Columbia",Warehouse,63.4,1984,75.2
2014,48767.16,2018,565800,485100,703700,490500,447800,1981,"Vancouver, British Columbia",Shopping centre,64.8,1984,77.2
2014,49316.8,2018,563600,481400,703700,489000,444600,1981,"Vancouver, British Columbia",Shopping centre,60.4,1984,75.2
2015,49138.96,2018,561800,479000,701600,486000,443200,1981,"Vancouver, British Columbia",Shopping centre,60,1984,93.2
2015,49805.6,2019,561100,479600,701300,482900,441700,1981,"Vancouver, British Columbia",Shopping centre,69.1,1984,94.1
2015,49738,2019,563300,481600,702500,482000,445500,1981,"Vancouver, British Columbia",Shopping centre,55.2,1984,93.6
2015,49644.4,2019,567300,485500,709300,484100,446700,1981,"Vancouver, British Columbia",Light factory,59.7,1984,94.2
,,2019,571800,489100,714800,487300,449900,1981,"Vancouver, British Columbia",Light factory,60.4,1984,93.5
,,2019,574000,493200,716300,491300,449300,1981,"Vancouver, British Columbia",Light factory,58.2,1984,0
,,2019,575200,494600,719100,491800,449300,1981,"Vancouver, British Columbia",Light factory,63.1,1984,0
,,2019,576000,496500,719400,492000,449300,1981,"Vancouver, British Columbia",Light factory,55.7,1984,63.8
,,2019,576700,497000,719700,494100,449700,1981,"Vancouver, British Columbia",School,58.6,1984,3.5
,,2019,578200,497900,722200,494700,450800,1981,"Vancouver, British Columbia",School,58.6,1984,64.7
,,2019,580000,498300,725500,494700,452200,1981,"Vancouver, British Columbia",School,58.5,1984,77.2
,,2019,580900,497900,727700,494100,453700,1981,"Vancouver, British Columbia",School,57.1,1984,75.3
,,2019,580000,497900,722500,493000,457100,1981,"Vancouver, British Columbia",School,53.7,1984,77.1
,,2020,590400,505800,739100,500000,462300,1981,Seven census metropolitan area composite,Office,59.7,1984,74.9
,,2020,595600,511000,742100,500900,469700,1981,Seven census metropolitan area composite,Warehouse,54.7,1984,93.4
,,2020,604800,517400,754700,507200,478700,1981,Seven census metropolitan area composite,Shopping centre,61,1984,94.1
,,2020,605000,517000,754100,510800,479400,1981,Seven census metropolitan area composite,Light factory,51.4,1984,93.6
,,2020,606800,519600,757800,512900,477700,1981,Seven census metropolitan area composite,School,57.7,1984,94
,,2020,609500,525500,763300,515700,473900,1981,"Halifax, Nova Scotia",Office,69,1984,93.2
,,2020,622100,539200,782100,519300,478100,1981,"Halifax, Nova Scotia",Office,73.2,1984,0.2
,,2020,631100,548400,797100,527300,478700,1981,"Halifax, Nova Scotia",Office,80,1984,0.2
,,2020,637800,556300,808200,540500,478900,1981,"Halifax, Nova Scotia",Office,52.9,1984,64
,,,,,,,,1981,"Halifax, Nova Scotia",Office,51.8,1984,3.8
,,,,,,,,1981,"Halifax, Nova Scotia",Warehouse,70.3,1984,65
,,,,,,,,1981,"Halifax, Nova Scotia",Warehouse,69.8,1984,77.6
,,,,,,,,1981,"Halifax, Nova Scotia",Warehouse,75.5,1984,75.6
,,,,,,,,1981,"Halifax, Nova Scotia",Warehouse,53.8,1984,77.6
,,,,,,,,1981,"Halifax, Nova Scotia",Warehouse,53.9,1984,75.3
,,,,,,,,1981,"Halifax, Nova Scotia",Shopping centre,67.2,1984,93.9
,,,,,,,,1981,"Halifax, Nova Scotia",Shopping centre,66,1984,94.8
,,,,,,,,1981,"Halifax, Nova Scotia",Shopping centre,71.2,1984,94
,,,,,,,,1981,"Halifax, Nova Scotia",Shopping centre,61.3,1984,94.7
,,,,,,,,1981,"Halifax, Nova Scotia",Shopping centre,55.7,1984,93.7
,,,,,,,,1981,"Halifax, Nova Scotia",Light factory,62.7,1984,0
,,,,,,,,1981,"Halifax, Nova Scotia",Light factory,74.8,1984,0
,,,,,,,,1981,"Halifax, Nova Scotia",Light factory,70.5,1984,64
,,,,,,,,1981,"Halifax, Nova Scotia",Light factory,48.6,1984,3.7
,,,,,,,,1981,"Halifax, Nova Scotia",Light factory,48.3,1984,65
,,,,,,,,1981,"Halifax, Nova Scotia",School,64.6,1984,77.6
,,,,,,,,1981,"Halifax, Nova Scotia",School,77.2,1984,75.6
,,,,,,,,1981,"Halifax, Nova Scotia",School,72.7,1984,77.9
,,,,,,,,1981,"Halifax, Nova Scotia",School,51.7,1984,75.5
,,,,,,,,1981,"Halifax, Nova Scotia",School,50.4,1984,93.9
,,,,,,,,1981,"Montreal, Quebec",Office,55.6,1984,94.8
,,,,,,,,1981,"Montreal, Quebec",Office,59.7,1984,94
,,,,,,,,1981,"Montreal, Quebec",Office,56.8,1984,95
,,,,,,,,1981,"Montreal, Quebec",Office,52.1,1984,93.9
,,,,,,,,1981,"Montreal, Quebec",Office,48.3,1984,0
,,,,,,,,1981,"Montreal, Quebec",Warehouse,60.8,1984,0
,,,,,,,,1981,"Montreal, Quebec",Warehouse,61.3,1985,64
,,,,,,,,1981,"Montreal, Quebec",Warehouse,62.5,1985,3.9
,,,,,,,,1981,"Montreal, Quebec",Warehouse,51.4,1985,65.4
,,,,,,,,1981,"Montreal, Quebec",Warehouse,53.9,1985,78.1
,,,,,,,,1981,"Montreal, Quebec",Shopping centre,59.9,1985,75.6
,,,,,,,,1981,"Montreal, Quebec",Shopping centre,59.3,1985,78.3
,,,,,,,,1981,"Montreal, Quebec",Shopping centre,59.7,1985,75.8
,,,,,,,,1981,"Montreal, Quebec",Shopping centre,63.4,1985,94.1
,,,,,,,,1981,"Montreal, Quebec",Shopping centre,56.7,1985,95.2
,,,,,,,,1981,"Montreal, Quebec",Light factory,53.9,1985,94
,,,,,,,,1981,"Montreal, Quebec",Light factory,57.7,1985,95.5
,,,,,,,,1981,"Montreal, Quebec",Light factory,54.4,1985,94.3
,,,,,,,,1981,"Montreal, Quebec",Light factory,52.5,1985,0.2
,,,,,,,,1981,"Montreal, Quebec",Light factory,51.9,1985,0.3
,,,,,,,,1981,"Montreal, Quebec",School,54.5,1985,0
,,,,,,,,1981,"Montreal, Quebec",School,54.4,1985,0
,,,,,,,,1981,"Montreal, Quebec",School,56.8,1985,64.4
,,,,,,,,1981,"Montreal, Quebec",School,54.1,1985,3.8
,,,,,,,,1981,"Montreal, Quebec",School,47.8,1985,65.8
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,49.1,1985,78.5
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,44.7,1985,76
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,54.9,1985,78.6
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,46.4,1985,76.1
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Office,49.8,1985,94.6
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,51.5,1985,95.8
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,51.5,1985,94.6
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,52,1985,95.8
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,46.2,1985,94.7
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Warehouse,53,1985,0.2
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,51.3,1985,0.3
,,,,,,,,1981,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shopping centre,48.1,1985,0
