consumer_index_year,consumer_index_value,office_year,office_index_value,earnings_year,earnings_canada,housing_prices_year,single_family_benchmark,single_family_hpi
2000,96.8,1987,67.6,,,,,
2000,115.5,1987,72.2,,,,,
2000,114.3,1987,75.5,,,,,
2000,115.4,1987,78.2,,,,,
2000,114.1,1987,70.9,,,,,
2000,0,1987,69.4,,,,,
2000,0.1,1987,74.4,,,,,
2000,0,1987,70,,,,,
2000,0,1987,66.1,,,,,
2000,96.9,1987,71.9,,,,,
2000,97,1987,71,,,,,
2000,1.8,1987,74,,,,,
2000,97.1,1987,73.6,,,,,
2000,97.3,1987,64.8,,,,,
2000,115.9,1987,71.9,,,,,
2000,114.4,1987,70.6,,,,,
2000,116.1,1987,73.9,,,,,
2000,114.5,1987,67,,,,,
2000,0,1987,69.6,,,,,
2000,0,1987,73,,,,,
2000,0,1987,83.5,,,,,
2000,0,1987,84.3,,,,,
2000,96.9,1987,90.5,,,,,
2000,97.1,1987,70.9,,,,,
2000,2,1987,79.8,,,,,
2000,97.2,1987,88.4,,,,,
2000,97.5,1987,88.1,,,,,
2000,116,1987,91.9,,,,,
2000,114.4,1987,73.9,,,,,
2000,116.4,1987,80.1,,,,,
2000,114.7,1987,88.9,,,,,
2000,0,1987,89,,,,,
2000,0,1987,91.2,,,,,
2000,0,1987,80.6,,,,,
2000,0,1987,88.6,,,,,
2001,96.7,1987,83.2,,,,,
2001,97.2,1987,90.3,,,,,
2001,1.9,1987,89.9,,,,,
2001,96.8,1987,67.1,,,,,
2001,97.3,1987,77.6,,,,,
2001,115.6,1987,83.3,,,,,
2001,114.2,1987,88.7,,,,,
2001,116.1,1987,88.7,,,,,
2001,114.8,1987,74.8,,,,,
2001,0,1987,76.2,,,,,
2001,0,1987,76.6,,,,,
2001,0,1987,76.1,,,,,
2001,0,1987,81.6,,,,,
2001,97.2,1987,68.7,,,,,
2001,97.4,1987,70.1,,,,,
2001,1.9,1987,80,,,,,
2001,97.3,1987,77.7,,,,,
2001,97.4,1987,83.2,,,,,
2001,116.1,1987,65.8,,,,,
2001,114.8,1987,73.9,,,,,
2001,116.3,1987,83.3,,,,,
2001,115,1987,78.4,,,,,
2001,0,1987,84.2,,,,,
2001,0,1987,79.9,,,,,
2001,0,1987,87.8,,,,,
2001,0,1987,72.9,,,,,
2001,97.3,1987,73.6,,,,,
2001,97.4,1987,78.3,,,,,
2001,1.9,1987,64.8,,,,,
2001,97.6,1987,71.5,,,,,
2001,97.6,1987,75,,,,,
2001,116.5,1987,73.6,,,,,
2001,114.9,1987,79.4,,,,,
2001,116.4,1987,69.7,,,,,
2001,115,1987,66.8,,,,,
2001,0,1987,67.2,,,,,
2001,0,1987,62.4,,,,,
2001,0,1987,71.1,,,,,
2001,0,1987,64.8,,,,,
